Neighborhood,Latitude,Longitude
Alam Damai,3.0576900000000364,101.74388000000005
"Ampang, Kuala Lumpur",3.1484988508598852,101.69672774991264
Bandar Menjalara,3.1903500000000236,101.62545000000006
Bandar Sri Permaisuri,3.1039100000000417,101.71226000000007
Bandar Tasik Selatan,3.072750000000042,101.71461000000005
Bandar Tun Razak,3.0827600000000643,101.72281000000004
Bangsar,3.1292000000000257,101.67844000000008
Bangsar Park,3.1292000000000257,101.67844000000008
Bangsar South,3.111020000000053,101.66283000000004
Batu 11 Cheras,3.061870000000056,101.74675000000008
"Batu, Kuala Lumpur",3.147890000000075,101.69405000000006
Brickfields,3.12916000000007,101.68406000000004
Bukit Bintang,3.147770000000037,101.70855000000006
Bukit Jalil,3.0578100000000745,101.68965000000009
Bukit Kiara,3.1434800000000678,101.64433000000008
Bukit Nanas,3.1486092228953293,101.69985445868105
Bukit Petaling,3.129290000000026,101.69896000000006
Bukit Tunku,3.17381000000006,101.68276000000009
"Cheras, Kuala Lumpur",3.061870000000056,101.74675000000008
Chow Kit,3.163590000000056,101.69811000000004
Damansara Heights,3.1479700000000435,101.66795000000008
Damansara Town Centre,3.1364442625375997,101.69029430612223
Dang Wangi,3.1578250453611005,101.69728006780952
Desa Petaling,3.083300000000065,101.70438000000007
"Federal Hill, Kuala Lumpur",3.1363700000000563,101.68564000000003
Happy Garden,3.201630000000023,101.72107000000005
"Jalan Cochrane, Kuala Lumpur",3.134630035206037,101.72169009769414
Jinjang,3.209500000000048,101.65874000000008
"Kampung Baru, Kuala Lumpur",3.165460000000053,101.71028000000007
Kampung Datuk Keramat,3.166400000000067,101.73046000000005
Kampung Kasipillay,3.177760000000035,101.68240000000009
Kampung Padang Balang,3.2094300000000544,101.69318000000004
Kepong,3.2175000000000296,101.63763000000006
Kepong Baru,3.2077711534935864,101.64517312014381
KL Eco City,3.1171300000000315,101.67384000000004
Kuchai Lama,3.090690000000052,101.67732000000007
Lembah Pantai,3.1211885068682768,101.66388947670069
Maluri,3.147890000000075,101.69405000000006
Medan Tuanku,3.1592600000000743,101.69834000000009
Miharja,3.147890000000075,101.69405000000006
Mont Kiara,3.1652900000000272,101.65242000000006
Pantai Dalam,3.094760000000065,101.66747000000004
"Pudu, Kuala Lumpur",3.133540000000039,101.71307000000007
Putrajaya,3.1258597547252975,101.71862364653306
Salak South,3.081540000000075,101.69689000000005
Segambut,3.1865000000000236,101.66795000000008
Semarak,3.179942809093066,101.72144936674827
"Sentul, Kuala Lumpur",3.1750800000000368,101.69305000000008
Setapak,3.188160000000039,101.70415000000008
Setiawangsa,3.191802463185978,101.74006640907571
Shamelin,3.1245700000000625,101.73597000000007
Sri Hartamas,3.162200000000041,101.65036000000003
Sri Petaling,3.0726000000000226,101.68252000000007
Sungai Besi,3.0499700000000303,101.70603000000006
Taman Bukit Maluri,3.2006600000000276,101.63337000000007
Taman Connaught,3.0826900000000705,101.73689000000007
Taman Desa,3.1029700000000275,101.68471000000005
Taman Duta,3.155620000000056,101.67184000000003
Taman Ibukota,3.21216000000004,101.71540000000005
Taman Len Seng,3.069080000000042,101.74287000000004
Taman Melati,3.223570000000052,101.72399000000007
Taman Midah,3.093590000000063,101.72837000000004
Taman OUG,3.2100510865907816,101.63450825801921
Taman P. Ramlee,3.1939400000000546,101.70573000000007
Taman Sri Sinar,3.1900700000000484,101.65293000000008
Taman Taynton View,3.0870700000000397,101.73681000000005
Taman Tun Dr Ismail,3.1528300000000513,101.62271000000004
Taman U-Thant,3.157700000000034,101.72452000000004
Taman Wahyu,3.22240000000005,101.67173000000008
Titiwangsa,3.1807300000000396,101.70321000000007
Wangsa Maju,3.2038700000000517,101.73715000000004
